Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,550,570,610,660,730,800,890,970,1040,1110,1220,1370,1520,1750,1930,2030
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chad,TCD,470,530,630,700,830,910,890,960,970,980,880,730,640,680,700,630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,34810,38510,43090,45650,43230,44490,47190,51080,52800,52200,47590,43890,42900,45080,46550,43580
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United States,USA,46180,47850,48520,49090,47830,49140,50630,52780,53980,55800,56640,57130,59240,63490,65970,64530
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Philippines,PHL,1380,1490,1720,2010,2170,2370,2520,2860,3160,3330,3380,3450,3530,3710,3850,3430
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Indonesia,IDN,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3840,4050,3870
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Togo,TGO,400,410,420,470,530,560,610,590,620,640,640,670,720,880,920,920
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mexico,MEX,8050,8690,9250,9780,8820,9040,9310,10050,10270,10500,10160,9390,8920,9180,9470,8480
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea,GIN,360,400,470,620,670,690,680,700,700,740,760,780,820,860,950,1020
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.48474696408995,1.34712103146787,1.22663050489361,1.14564743804678,1.11680643452794,1.1248068966134,1.14382867124819,1.15400610453827,1.15595091365323,1.1429302161114,1.11909103277687,1.09528840382819,1.07553524898766,1.05357030023873,1.02919664944804,1.00277418143487
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.64986168707305,3.50815725715737,3.39310016650649,3.32331568496484,3.31157110166538,3.33466929345193,3.3635382470264,3.37076756399417,3.35106893405564,3.29689942062191,3.22199984419079,3.14393299725849,3.07750673636919,3.02350454795029,2.98613014725798,2.95935371013085
Population growth (annual %),SP.POP.GROW,Canada,CAN,0.944466927450734,1.01033450270045,0.971135141368055,1.08290711607014,1.14175809912162,1.11186407517168,0.978697786570341,1.08581726304756,1.05659125917789,1.00533757867378,0.746339477969813,1.13234865466606,1.19968215419992,1.412548033188,1.41501469953534,1.08959148655862
Population growth (annual %),SP.POP.GROW,United States,USA,0.921713167161207,0.964253917136075,0.951055242772428,0.945865287282592,0.876651298802912,0.829616674709795,0.726786704810745,0.733599941250847,0.692860276624581,0.733361519937424,0.73621730882542,0.724676067451429,0.63264399508256,0.526435395564053,0.455381285963537,0.350911063312921
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.88936545844739,1.79372218827953,1.71110434098395,1.65996399032321,1.64985843674273,1.6661133640265,1.69181178702327,1.70412578861596,1.69208799737211,1.64668215233623,1.57936252126472,1.50710255674413,1.44527760718223,1.39596533979435,1.36449622326603,1.34542996462104
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.33630464499704,1.32958175171436,1.32383420748243,1.32333051767653,1.32921737939261,1.3377824768766,1.34790440280692,1.35169978721169,1.34077086414715,1.31094524538172,1.26782970253157,1.22059105826764,1.17619742367279,1.13450697951891,1.09792643725552,1.06517898587775
Population growth (annual %),SP.POP.GROW,Togo,TGO,2.59726914662684,2.65939767419675,2.69597345840379,2.71692868326481,2.71493100269683,2.6962976659218,2.67753252488233,2.66091060739875,2.63574468461472,2.60114952364707,2.56099971332713,2.51868723622311,2.47933129149683,2.44590389318048,2.42023592434892,2.40066351625992
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.4158169793862,1.4562132376675,1.48606353186843,1.49536909755127,1.47675580253545,1.43814066910139,1.39478996981758,1.35529442643505,1.31555760676608,1.27768636604222,1.24116450246976,1.20325950587092,1.16396694963579,1.12641479134149,1.09136688717461,1.05824003448927
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.03891508960548,2.14848830516983,2.23894087995142,2.29160483010145,2.2908270048225,2.25938161116451,2.21515030486438,2.197958681877,2.23532763160631,2.34225412440163,2.4898348435131,2.64435773103833,2.764879904347,2.8331175118102,2.83478481749442,2.79160707922075
"Labor force, total",SL.TLF.TOTL.IN,Bangladesh,BGD,53123178,54083636,54954286,55799460,56639145,57493263,58436990,59377977,60318372,61262254,62203550,63131472,66854855,68073235,69229775,68412678
"Labor force, total",SL.TLF.TOTL.IN,Chad,TCD,3421436,3513870,3609400,3709120,3814334,3925808,4034855,4151116,4272988,4398728,4527305,4649302,4774387,4902823,5074502,5085739
"Labor force, total",SL.TLF.TOTL.IN,Canada,CAN,17821886,18030705,18379605,18667574,18799155,19001081,19147395,19322866,19546552,19629145,19747709,19955331,20218270,20396697,20788261,20492683
"Labor force, total",SL.TLF.TOTL.IN,United States,USA,151976098,153855509,155224880,156907793,157079943,157111093,157163170,157841889,158252925,158910317,159912569,161836238,163395307,164634753,166355636,163738061
"Labor force, total",SL.TLF.TOTL.IN,Philippines,PHL,33464924,34249911,35058171,35888907,37096210,38102681,39471864,40032101,40722802,42086989,42464441,43465682,42626395,43426313,44679340,41971346
"Labor force, total",SL.TLF.TOTL.IN,Indonesia,IDN,102184327,103776784,108893086,110890081,112039660,114596174,117225410,120144188,120972115,122770335,124807236,126206202,129127477,133000453,136202238,136459585
"Labor force, total",SL.TLF.TOTL.IN,Togo,TGO,1875088,1924910,1976961,2031082,2087243,2145451,2204745,2266629,2331011,2397717,2466671,2536878,2609095,2683601,2760567,2817960
"Labor force, total",SL.TLF.TOTL.IN,Mexico,MEX,42869547,44352857,45304973,46199021,47176107,47982609,49035908,50512846,51318641,51780845,52732562,53507498,54096291,55190039,56596004,53080123
"Labor force, total",SL.TLF.TOTL.IN,Guinea,GIN,3121797,3192631,3269621,3351766,3437284,3525211,3613639,3705222,3801846,3905858,4018675,4148772,4288458,4435743,4588010,4614181
"Population, total",SP.POP.TOTL,Bangladesh,BGD,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383
"Population, total",SP.POP.TOTL,Chad,TCD,10096630,10457122,10818031,11183589,11560142,11952134,12360986,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859
"Population, total",SP.POP.TOTL,Canada,CAN,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545295,37065178,37593384,38005238
"Population, total",SP.POP.TOTL,United States,USA,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
"Population, total",SP.POP.TOTL,Philippines,PHL,86326251,87888675,89405482,90901967,92414161,93966784,95570049,97212639,98871558,100513137,102113206,103663812,105172921,106651394,108116622,109581085
"Population, total",SP.POP.TOTL,Indonesia,IDN,226289468,229318262,232374239,235469755,238620554,241834226,245115988,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621
"Population, total",SP.POP.TOTL,Togo,TGO,5611643,5762881,5920360,6083417,6250840,6421674,6595939,6773807,6954721,7137997,7323162,7509952,7698476,7889095,8082359,8278737
"Population, total",SP.POP.TOTL,Mexico,MEX,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
"Population, total",SP.POP.TOTL,Guinea,GIN,9109585,9307421,9518159,9738796,9964470,10192168,10420459,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,24.053,23.384,22.747,22.153,21.605,21.107,20.657,20.245,19.862,19.501,19.156,18.824,18.501,18.184,17.868,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,TCD,49.325,48.848,48.327,47.772,47.194,46.603,46.01,45.42,44.841,44.276,43.73,43.201,42.683,42.172,41.665,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Canada,CAN,10.6,10.9,11.2,11.3,11.3,11.1,11,11,10.8,10.8,10.7,10.6,10.3,10.1,9.9,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United States,USA,14,14.3,14.3,14,13.5,13,12.7,12.6,12.4,12.5,12.4,12.2,11.8,11.6,11.4,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Philippines,PHL,27.372,26.823,26.307,25.841,25.422,25.024,24.602,24.12,23.562,22.935,22.273,21.623,21.036,20.546,20.166,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Indonesia,IDN,21.765,21.624,21.448,21.251,21.034,20.795,20.526,20.225,19.893,19.537,19.165,18.79,18.422,18.072,17.746,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Togo,TGO,39.321,39.007,38.626,38.193,37.717,37.207,36.673,36.125,35.574,35.032,34.51,34.016,33.55,33.113,32.707,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mexico,MEX,21.741,21.343,20.973,20.635,20.327,20.042,19.766,19.488,19.198,18.892,18.573,18.245,17.918,17.602,17.297,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea,GIN,41.956,41.501,41.048,40.598,40.153,39.713,39.278,38.848,38.422,38,37.583,37.171,36.765,36.364,35.965,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bangladesh,BGD,6.205,6.092,5.987,5.892,5.807,5.734,5.673,5.625,5.589,5.565,5.549,5.539,5.533,5.529,5.526,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Chad,TCD,16.636,16.295,15.909,15.489,15.047,14.598,14.161,13.752,13.38,13.053,12.77,12.527,12.309,12.104,11.907,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Canada,CAN,7.1,7,7.1,7.2,7.1,7,7.1,7.1,7.2,7.3,7.4,7.4,7.5,7.7,7.6,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.3,8.1,8,8.1,7.9,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.638,8.678,8.7,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Philippines,PHL,5.469,5.478,5.497,5.529,5.572,5.623,5.674,5.719,5.754,5.78,5.798,5.815,5.839,5.873,5.92,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Indonesia,IDN,7.203,7.087,6.965,6.849,6.744,6.653,6.579,6.518,6.471,6.437,6.419,6.418,6.433,6.465,6.51,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Togo,TGO,11.929,11.629,11.291,10.926,10.548,10.175,9.826,9.514,9.244,9.02,8.841,8.695,8.568,8.446,8.324,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mexico,MEX,4.792,4.869,4.961,5.06,5.163,5.266,5.369,5.471,5.572,5.67,5.763,5.851,5.933,6.01,6.082,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Guinea,GIN,13.545,12.954,12.379,11.854,11.395,11.002,10.657,10.331,10.003,9.67,9.337,9.013,8.715,8.452,8.225,..
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,
Last Updated: 02/16/2022,,,,,,,,,,,,,,,,,,,
